county,year,真实单产,随机森林(RF)_预测单产,随机森林(RF)_残差,随机森林(RF)_绝对误差,LSTM_预测单产,LSTM_残差,LSTM_绝对误差,Bi-LSTM_预测单产,Bi-LSTM_残差,Bi-LSTM_绝对误差
平江县,2016,5.928419452887538,6.1544222896178296,0.22600283673029153,0.22600283673029153,6.21298,0.28456034066104596,0.28456034066104596,6.038373595791701,0.10995414290416328,0.10995414290416328
澧县,2015,6.2330915325771565,6.38369965940279,0.15060812682563363,0.15060812682563363,6.22422,-0.008871733535408488,0.008871733535408488,6.173397830485757,-0.05969370209139946,0.05969370209139946
公安县,2013,8.11244769874477,8.035862880962165,-0.07658481778260473,0.07658481778260473,8.153374,0.04092601951694874,0.04092601951694874,7.767167465459545,-0.3452802332852247,0.3452802332852247
津市市,2015,5.943104943625325,5.902638449987618,-0.040466493637707046,0.040466493637707046,5.980734,0.03762892783463556,0.03762892783463556,5.878321254235321,-0.064783689390004,0.064783689390004
汨罗市,2018,6.485113490364026,6.401606666487031,-0.08350682387699493,0.08350682387699493,6.6351943,0.15008081124119865,0.15008081124119865,6.398321743206457,-0.08679174715756854,0.08679174715756854
桃源县,2014,5.667163942231392,5.743337552789135,0.07617361055774285,0.07617361055774285,5.647372,-0.019792173279975955,0.019792173279975955,5.613820437482801,-0.053343504748591286,0.053343504748591286
津市市,2019,5.834367111118823,6.012412314366302,0.1780452032474793,0.1780452032474793,6.162109,0.3277417870440189,0.3277417870440189,6.05446563757149,0.22009852645266736,0.22009852645266736
岳阳楼区,2021,6.329594872968642,6.044183991017432,-0.28541088195121045,0.28541088195121045,5.897424,-0.43217065192982407,0.43217065192982407,5.817018364900621,-0.5125765080680216,0.5125765080680216
桃江县,2015,5.899295278365046,5.85129583885652,-0.047999439508526365,0.047999439508526365,5.845772,-0.05352348881426483,0.05352348881426483,5.7494459944019685,-0.14984928396307762,0.14984928396307762
南县,2021,7.017066209201555,6.83971449950765,-0.17735170969390524,0.17735170969390524,6.959062,-0.05800410974476833,0.05800410974476833,6.9117852268747,-0.10528098232685501,0.10528098232685501
平江县,2018,6.517954353338968,6.38353890622633,-0.1344154471126382,0.1344154471126382,6.5690594,0.051105018609273856,0.051105018609273856,6.396129573655898,-0.12182477968307026,0.12182477968307026
临澧县,2017,6.047108152674763,5.914465926481934,-0.1326422261928295,0.1326422261928295,5.864081,-0.18302724676045656,0.18302724676045656,5.850058300084524,-0.1970498525902391,0.1970498525902391
临湘市,2018,6.288230552196695,6.504205273825046,0.21597472162835096,0.21597472162835096,6.2067814,-0.08144916486759346,0.08144916486759346,6.42433063356639,0.13610008136969487,0.13610008136969487
沅江市,2015,6.1041248606466,5.931437292248487,-0.17268756839811328,0.17268756839811328,5.873227,-0.2308977412007991,0.2308977412007991,5.833928922095944,-0.27019593855065605,0.27019593855065605
岳阳县,2015,6.112550212164074,6.119908559372235,0.007358347208161753,0.007358347208161753,6.107297,-0.00525326849952279,0.00525326849952279,6.057602206039132,-0.054948006124941884,0.054948006124941884
公安县,2012,7.959777980535279,6.915029352590074,-1.0447486279452045,1.0447486279452045,6.8603487,-1.0994292790582278,1.0994292790582278,7.07983011626519,-0.8799478642700889,0.8799478642700889
云溪区,2014,6.69377358490566,6.914172622941924,0.22039903803626348,0.22039903803626348,6.782976,0.08920256560703521,0.08920256560703521,6.676579119986538,-0.0171944649191218,0.0171944649191218
石首市,2013,5.808907710280373,5.914709945972609,0.10580223569223612,0.10580223569223612,5.683871,-0.12503691789145677,0.12503691789145677,5.765884436441398,-0.04302327383897442,0.04302327383897442
